created_at;account.id;in_reply_to_account_id;
2017-09-07T17:08:59.000Z;571;-1;
2017-09-07T07:30:10.000Z;499;-1;
2017-09-06T14:29:37.000Z;1136;-1;
2017-09-06T11:24:15.000Z;968;-1;
2017-09-05T22:14:17.000Z;211;-1;
2017-09-05T02:13:00.000Z;1475;-1;
2017-09-04T16:01:22.000Z;861;-1;
2017-09-04T14:51:31.000Z;215;-1;
2017-09-03T14:27:49.000Z;1639;-1;
2017-09-03T12:40:15.000Z;1636;-1;
2017-09-03T11:48:52.000Z;2807;-1;
2017-09-03T10:09:09.000Z;168;-1;
2017-09-02T23:14:41.000Z;80;-1;
2017-09-02T19:10:54.000Z;775;-1;
2017-09-02T16:12:02.000Z;1634;-1;
2017-09-02T15:24:0300Z;571;571;
2017-09-01T21:14:25.000Z;2267;-1;
2017-08-31T04:55:54.000Z;2431;-1;
2018-04-18T00:30:53.000Z;1006;-1;
2018-04-18T00:30:37.842Z;174;-1;
2018-04-18T00:29:01.216Z;80;-1;
2018-04-18T00:28:38.814Z;174;-1;
2018-04-18T00:23:50.479Z;574;574;
2018-04-18T00:19:07.398Z;159;-1;
2018-04-18T00:18:33.607Z;574;574;
2018-04-18T00:17:00.000Z;2379;-1;
2018-04-18T00:15:35.515Z;174;-1;
2018-04-18T00:12:36.938Z;574;-1;
2018-04-18T00:10:19.000Z;2449;-1;
2018-04-18T00:02:07.869Z;568;-1;
2018-04-17T23:57:57.000Z;2099;-1;
2018-04-17T23:54:58.000Z;628;-1;
2018-04-17T23:50:21.520Z;159;-1;
2018-04-17T23:46:29.962Z;182;-1;
2018-04-17T23:46:20.801Z;80;-1;
2018-04-17T23:43:26.827Z;80;-1;
2018-04-17T23:42:21.000Z;1929;-1;
2018-04-17T23:33:12.000Z;3514;-1;
2018-04-17T23:30:59.424Z;571;-1;
2018-04-17T23:21:2800Z;947;947;
2018-04-17T23:19:43.000Z;2374;-1;
2018-04-17T23:07:59.000Z;1016;-1;
2018-04-17T23:06:44.000Z;947;-1;
2018-04-17T22:45:38.298Z;571;-1;
2018-04-17T22:43:45.683Z;571;-1;
2018-04-17T22:25:59.199Z;573;573;
