created_at;account.id;in_reply_to_account_id;;;
2017-11-17T00:05:26.461Z;2;-1;;;
2017-11-17T00:33:58.594Z;8;-1;;;
2017-11-17T00:43:5400Z;31;-1;;;
2017-11-17T02:46:5500Z;780;-1;;;
2017-11-17T03:13:1200Z;33;-1;;;
2017-11-17T05:38:3000Z;2872;-1;;;
2017-11-17T07:22:1100Z;62;-1;;;
2017-11-17T11:05:2300Z;31;-1;;;
2017-11-17T12:42:51.723Z;3;-1;;;
2017-11-17T12:55:0300Z;3385;-1;;;
2017-11-17T13:29:5400Z;35;-1;;;
2017-11-17T15:15:0900Z;1478;-1;;;
2017-11-17T15:22:55.235Z;8;-1;;;
2017-11-17T15:48:2376Z;8;-1;;;
2017-11-17T16:56:3000Z;1682;-1;;;
2017-11-17T17:43:1800Z;978;-1;;;
2017-11-17T18:12:17.897Z;8;-1;;;
2017-11-17T18:23:2077Z;2;-1;;;
2017-11-17T18:26:0900Z;1578;-1;;;
2017-11-17T18:27:2600Z;1887;-1;;;
2017-11-17T18:56:1700Z;1887;1887;;;
2017-11-17T19:19:3900Z;10;-1;;;
2017-11-17T19:26:56.799Z;3;-1;;;
2017-11-17T20:09:0800Z;1976;-1;;;
2017-11-17T20:38:5800Z;1014;-1;;;
2017-11-17T21:02:5200Z;2459;-1;;;
2017-11-17T21:37:35.751Z;3;-1;;;
2017-11-17T22:12:2500Z;51;-1;;;
2017-11-17T22:55:4300Z;809;-1;;;
2017-11-18T02:43:39.177Z;8;-1;;;
2017-11-18T06:55:0300Z;1304;-1;;;
2017-11-18T11:19:56.945Z;6;-1;;;
2017-11-18T14:55:06.471Z;3;-1;;;
2017-11-18T14:55:35.971Z;3;-1;;;
2017-11-18T15:13:1100Z;1077;-1;;;
2017-11-18T16:42:35.138Z;3;-1;;;
2017-11-18T16:46:2500Z;1887;-1;;;
2017-11-18T17:49:2527Z;2;-1;;;
2017-11-18T17:55:25.619Z;8;-1;;;
2017-11-18T18:05:4200Z;60;-1;;;
2017-11-18T20:23:3200Z;2980;-1;;;
2017-11-18T20:35:2600Z;61;-1;;;
2017-11-18T20:44:51.938Z;8;-1;;;
2017-11-18T21:08:55.579Z;8;-1;;;
2017-11-18T21:14:1500Z;745;-1;;;
2017-11-18T21:59:0000Z;1503;-1;;;
2017-11-18T22:37:1000Z;3341;-1;;;
2017-11-18T23:43:5600Z;598;-1;;;
2017-11-19T00:01:0200Z;598;-1;;;
2017-11-19T06:56:3600Z;3349;-1;;;
2017-11-19T11:09:2200Z;66;-1;;;
2017-11-19T12:39:1200Z;3055;-1;;;
2017-11-19T16:58:40.168Z;8;-1;;;
2017-11-19T18:18:1800Z;959;-1;;;
2017-11-19T18:37:2200Z;413;-1;;;
2017-11-19T18:41:4900Z;68;-1;;;
2017-11-19T19:23:0377Z;8;-1;;;
2017-11-19T19:27:19.605Z;8;-1;;;
2017-11-19T20:07:4200Z;70;-1;;;
2017-11-19T21:11:40.246Z;8;-1;;;
2017-11-19T21:22:2000Z;75;-1;;;
2017-11-19T21:32:0600Z;1001;-1;;;
2017-11-19T21:42:09.103Z;2;-1;;;
2017-11-19T23:09:5700Z;2374;-1;;;
2017-11-20T01:25:3600Z;3524;-1;;;
2017-11-20T03:18:32.327Z;8;-1;;;
2017-11-20T04:23:4900Z;815;-1;;;
2017-11-20T13:01:36.118Z;6;-1;;;
2017-11-20T13:57:52.845Z;3;-1;;;
2017-11-20T15:01:3200Z;1295;-1;;;
2017-11-20T15:29:06.138Z;8;-1;;;
2017-11-20T18:12:0600Z;95;-1;;;
2017-11-20T18:12:4600Z;1299;-1;;;
2017-11-20T19:18:4200Z;2878;-1;;;
2017-11-20T19:28:56.173Z;8;-1;;;
2017-11-20T19:51:58.182Z;8;-1;;;
2017-11-20T20:11:2200Z;3787;-1;;;
2017-11-20T20:42:4400Z;3329;-1;;;
2017-11-20T23:00:5900Z;143;-1;;;
2017-11-20T23:08:2000Z;1626;-1;;;
2017-11-20T23:42:34.175Z;2;-1;;;
2017-11-21T04:07:40.584Z;8;-1;;;
2017-11-21T11:40:5700Z;88;-1;;;
2017-11-21T11:48:1600Z;88;88;;;
2017-11-21T13:34:01.916Z;6;-1;;;
2017-11-21T15:39:0500Z;10;-1;;;
2017-11-21T16:54:06.881Z;8;-1;;;
2017-11-21T17:37:27.702Z;8;-1;;;
2017-11-21T18:13:52.486Z;8;-1;;;
2017-11-21T18:23:4800Z;139;-1;;;
2017-11-21T20:58:3200Z;102;-1;;;
2017-11-21T21:10:2700Z;2084;-1;;;
2017-11-21T22:21:15.506Z;8;-1;;;
